shipping_id,order_id,shipping_date,return_date,shipping providers,delivery_status
17803,6747,2023-02-14,2023-02-23,dhl,Returned 
17804,6574,2023-01-18,2023-01-26,dhl,Returned 
17805,15591,2022-12-19,2022-12-29,dhl,Returned 
17806,720,2022-12-08,2022-12-16,dhl,Returned 
17807,8198,2022-11-30,2022-12-12,dhl,Returned 
17808,1628,2022-11-15,2022-11-29,dhl,Returned 
17809,17737,2022-10-26,2022-11-03,dhl,Returned 
17810,5199,2022-10-06,2022-10-16,dhl,Returned 
17811,11501,2022-10-05,2022-10-19,dhl,Returned 
17812,18844,2022-09-21,2022-10-05,dhl,Returned 
17813,16361,2022-09-20,2022-10-04,dhl,Returned 
17814,6391,2022-09-14,2022-09-25,dhl,Returned 
17815,15851,2022-09-10,2022-09-20,dhl,Returned 
17816,1216,2022-08-19,2022-08-28,dhl,Returned 
17817,2145,2022-08-10,2022-08-23,dhl,Returned 
17818,7443,2022-07-30,2022-08-08,dhl,Returned 
17819,11264,2022-07-16,2022-07-28,dhl,Returned 
17820,9312,2022-07-02,2022-07-10,dhl,Returned 
17821,14500,2022-07-02,2022-07-09,dhl,Returned 
17822,20112,2022-06-28,2022-07-05,dhl,Returned 
17823,8517,2022-06-23,2022-07-07,dhl,Returned 
17824,16039,2022-06-19,2022-06-30,dhl,Returned 
17825,13450,2022-06-11,2022-06-18,dhl,Returned 
17826,11949,2022-06-03,2022-06-13,dhl,Returned 
17827,20256,2022-06-04,2022-06-11,dhl,Returned 
17828,12689,2022-05-22,2022-06-05,dhl,Returned 
17829,15286,2022-04-30,2022-05-10,dhl,Returned 
17830,2002,2022-04-26,2022-05-05,dhl,Returned 
17831,12520,2022-04-18,2022-05-01,dhl,Returned 
17832,15533,2022-04-10,2022-04-20,dhl,Returned 
17833,10164,2022-04-05,2022-04-14,dhl,Returned 
17834,11624,2022-04-03,2022-04-11,dhl,Returned 
17835,14880,2022-04-01,2022-04-14,dhl,Returned 
17836,2473,2022-03-02,2022-03-10,dhl,Returned 
17837,7229,2022-01-03,2022-01-15,dhl,Returned 
17838,14561,2021-12-16,2021-12-30,dhl,Returned 
17839,4409,2021-12-08,2021-12-18,dhl,Returned 
17840,14731,2021-11-17,2021-11-29,dhl,Returned 
17841,9271,2021-11-08,2021-11-22,dhl,Returned 
17842,4697,2021-10-28,2021-11-10,dhl,Returned 
17843,15778,2021-09-12,2021-09-23,dhl,Returned 
17844,19950,2021-09-02,2021-09-16,dhl,Returned 
17845,12053,2021-08-29,2021-09-05,dhl,Returned 
17846,19821,2021-08-16,2021-08-28,dhl,Returned 
17847,13360,2021-07-21,2021-08-01,dhl,Returned 
17848,6148,2021-07-14,2021-07-24,dhl,Returned 
17849,17972,2021-07-08,2021-07-19,dhl,Returned 
17850,16545,2021-06-30,2021-07-08,dhl,Returned 
17851,12933,2021-06-14,2021-06-22,dhl,Returned 
17852,13926,2021-05-15,2021-05-25,dhl,Returned 
17853,4572,2021-05-12,2021-05-24,dhl,Returned 
17854,484,2021-04-25,2021-05-09,dhl,Returned 
17855,19209,2021-04-17,2021-04-24,dhl,Returned 
17856,4020,2021-04-10,2021-04-21,dhl,Returned 
17857,10682,2021-04-07,2021-04-14,dhl,Returned 
17858,10901,2021-04-06,2021-04-19,dhl,Returned 
17859,17852,2021-03-28,2021-04-07,dhl,Returned 
17860,16373,2021-03-14,2021-03-21,dhl,Returned 
17861,18122,2021-03-12,2021-03-26,dhl,Returned 
17862,7635,2021-03-07,2021-03-15,dhl,Returned 
17863,4011,2021-02-16,2021-03-02,dhl,Returned 
17864,10006,2021-02-16,2021-03-02,dhl,Returned 
17865,10566,2020-12-25,2021-01-04,dhl,Returned 
17866,19277,2020-12-18,2020-12-26,dhl,Returned 
17867,7397,2020-12-05,2020-12-18,dhl,Returned 
17868,16012,2020-11-30,2020-12-13,dhl,Returned 
17869,11938,2020-10-12,2020-10-21,dhl,Returned 
17870,6365,2020-10-01,2020-10-12,dhl,Returned 
17871,14643,2020-09-26,2020-10-06,dhl,Returned 
17872,17839,2020-08-17,2020-08-26,dhl,Returned 
17873,11966,2020-07-24,2020-07-31,dhl,Returned 
17874,2019,2020-07-24,2020-08-03,dhl,Returned 
17875,11984,2020-07-19,2020-07-29,dhl,Returned 
17876,2366,2020-07-17,2020-07-27,dhl,Returned 
17877,3205,2020-06-20,2020-06-28,dhl,Returned 
17878,1996,2020-06-07,2020-06-21,dhl,Returned 
17879,9938,2020-06-02,2020-06-12,dhl,Returned 
17880,5689,2020-05-03,2020-05-10,dhl,Returned 
17881,10037,2020-04-21,2020-05-02,dhl,Returned 
17882,6963,2020-04-18,2020-04-29,dhl,Returned 
17883,5642,2020-03-27,2020-04-07,dhl,Returned 
17884,4970,2020-03-23,2020-03-30,dhl,Returned 
17885,4646,2020-03-12,2020-03-26,dhl,Returned 
17886,3395,2020-02-21,2020-03-05,dhl,Returned 
17887,6443,2020-01-16,2020-01-24,dhl,Returned 
17888,21492,2024-07-18,2024-07-29,dhl,Returned 
17889,21401,2024-05-26,2024-06-05,dhl,Returned 
17890,21523,2024-04-29,2024-05-08,dhl,Returned 
17891,1731,2024-01-16,2024-01-25,dhl,Returned 
17892,13265,2023-12-03,2023-12-13,dhl,Returned 
17893,3148,2023-10-26,2023-11-06,dhl,Returned 
17894,19705,2023-10-09,2023-10-17,dhl,Returned 
17895,8761,2023-09-19,2023-09-26,dhl,Returned 
17896,9350,2023-09-06,2023-09-14,dhl,Returned 
17897,4445,2023-09-08,2023-09-15,dhl,Returned 
17898,14928,2023-08-27,2023-09-09,dhl,Returned 
17899,7301,2023-08-26,2023-09-06,dhl,Returned 
17900,2174,2023-08-27,2023-09-05,dhl,Returned 
17901,20085,2023-08-18,2023-08-27,dhl,Returned 
17902,12025,2023-07-22,2023-08-05,dhl,Returned 
17903,316,2023-07-05,2023-07-17,dhl,Returned 
17904,19178,2023-06-19,2023-06-26,dhl,Returned 
17905,10376,2023-06-03,2023-06-13,dhl,Returned 
17906,740,2023-06-01,2023-06-15,dhl,Returned 
17907,1692,2023-06-03,2023-06-13,dhl,Returned 
17908,13644,2023-05-27,2023-06-10,dhl,Returned 
17909,18584,2023-05-20,2023-05-31,dhl,Returned 
17910,3507,2023-05-17,2023-05-28,dhl,Returned 
17911,15560,2023-05-15,2023-05-25,dhl,Returned 
17912,19000,2023-05-13,2023-05-20,dhl,Returned 
17913,20788,2023-05-09,2023-05-16,dhl,Returned 
17914,15881,2023-05-05,2023-05-13,dhl,Returned 
